iter	RMSE
128	5.265402375
129	5.260673988
130	5.25308142
131	5.246586201
132	5.2410392
133	5.237165471
134	5.232968036
135	5.227864477
136	5.223716583
137	5.217911102
138	5.213728778
139	5.209556905
140	5.204744046
141	5.20005023
142	5.195880627
143	5.191607962
144	5.186726789
145	5.182174441
146	5.178863463
147	5.173890146
148	5.171141317
149	5.165390236
150	5.161515901
151	5.158009887
152	5.154278395
153	5.150055842
154	5.146331727
155	5.141192508
156	5.134673807
157	5.132079487
158	5.128780878
159	5.125165595
160	5.121686997
161	5.116865998
162	5.113175537
163	5.109543848
164	5.105338857
165	5.099004658
166	5.095315668
167	5.091019059
168	5.085689941
169	5.081290306
170	5.077088418
171	5.072174283
172	5.067615283
173	5.063825699
174	5.058880311
175	5.05312202
176	5.047585231
177	5.042788646
178	5.039137116
179	5.035155387
180	5.032105101
181	5.026313177
182	5.022390207
183	5.017605847
184	5.014322647
185	5.010260407
186	5.006693995
187	5.002866105
188	4.999424974
189	4.995894813
190	4.993186024
191	4.989462393
192	4.985499007
193	4.981899504
194	4.978088381
195	4.973141892
196	4.969956329
197	4.965768917
198	4.961420702
199	4.956675786
200	4.951235739
201	4.946293063
202	4.943377964
203	4.939943055
204	4.935414124
205	4.929965332
206	4.925174586
207	4.922406871
208	4.918658432
209	4.914793549
210	4.910875361
211	4.908500929
212	4.905856199
213	4.90265815
214	4.899510999
215	4.895576504
216	4.892220767
217	4.888454163
218	4.886137512
219	4.881631915
220	4.877923742
221	4.874320751
222	4.870612009
223	4.867095194
224	4.863313747
225	4.858554569
226	4.855147903
227	4.851085645
228	4.847474484
229	4.842673061
230	4.835826363
231	4.831322754
232	4.828544349
233	4.824077209
234	4.820845269
235	4.817430366
236	4.811828001
237	4.808315052
238	4.805038849
239	4.800865253
240	4.797400947
241	4.794629457
242	4.791769689
243	4.787975819
244	4.785714042
245	4.781587875
246	4.778212897
247	4.774284018
248	4.769727423
249	4.766437769
250	4.76313613
251	4.760248381
252	4.756907035
253	4.752837832
254	4.748535585
255	4.745330823
256	4.742684198
257	4.738138168
258	4.735118146
259	4.733227648
260	4.73003279
261	4.727691363
262	4.724602748
263	4.722098403
264	4.718550058
265	4.714836295
266	4.710829568
267	4.705324323
268	4.701885525
269	4.699124482
270	4.695468211
271	4.692490686
272	4.689694904
273	4.68667848
274	4.683920923
275	4.679719216
276	4.676616859
277	4.67353304
278	4.669075971
279	4.665696442
280	4.662991029
281	4.658932296
282	4.654699588
283	4.650792587
284	4.648880895
285	4.645344148
286	4.64253365
287	4.63926451
288	4.636488257
289	4.633298441
290	4.629312778
291	4.626882247
292	4.622524116
293	4.620057861
294	4.616590229
295	4.6128815
296	4.610630107
297	4.608881556
298	4.60548028
299	4.602952436
300	4.59970589
301	4.595567795
302	4.592755498
303	4.588918601
304	4.586697215
305	4.583852797
306	4.582151992
307	4.578838442
308	4.575881114
309	4.572771922
310	4.569297035
311	4.566243593
312	4.563654144
313	4.560667728
314	4.557270819
315	4.554108159
316	4.551130433
317	4.548785233
318	4.545961459
319	4.542621248
320	4.538901151
321	4.535654366
322	4.533218233
323	4.530530928
324	4.528796479
325	4.525584204
326	4.52256409
327	4.51997507
328	4.515795481
329	4.513240578
330	4.511053585
331	4.507138617
332	4.503959381
333	4.501169957
334	4.498067356
335	4.49511405
336	4.492275569
337	4.488706871
338	4.484155648
339	4.481840095
340	4.479299825
341	4.476498168
342	4.473327773
343	4.470304251
344	4.467277825
345	4.46522051
346	4.461861906
347	4.458836637
348	4.455757006
349	4.453457699
350	4.449935033
351	4.447054098
352	4.442834574
353	4.439402593
354	4.436760109
355	4.434205408
356	4.431569822
357	4.428929562
358	4.426052678
359	4.423024375
360	4.42053498
361	4.418143722
362	4.416237734
363	4.413723983
364	4.411111697
365	4.407860929
366	4.404704449
367	4.401827467
368	4.399714365
369	4.39776165
370	4.393829308
371	4.389454042
372	4.38646053
373	4.384104496
374	4.381117422
375	4.376547281
376	4.374595264
377	4.372415162
378	4.370044135
379	4.367946253
380	4.364942059
381	4.363372052
382	4.360117431
383	4.357089102
384	4.354141813
385	4.351434814
386	4.348114117
387	4.345586189
388	4.342631514
389	4.340619882
390	4.337305894
391	4.334497314
392	4.331956228
393	4.330433564
394	4.328742239
395	4.327036729
396	4.324497735
397	4.322240197
398	4.320006048
399	4.317793718
400	4.315874428
401	4.313487473
402	4.309456619
403	4.306481841
404	4.303069472
405	4.298553367
406	4.296398679
407	4.29390712
408	4.292375185
409	4.290411527
410	4.288084357
411	4.286229594
412	4.284114134
413	4.28222733
414	4.279296298
415	4.276817166
416	4.27398048
417	4.271954537
418	4.269702599
419	4.267475961
420	4.264819229
421	4.262262041
422	4.259945948
423	4.256680306
424	4.253519223
425	4.25038159
426	4.247504069
427	4.24453062
428	4.242204453
429	4.239720297
430	4.23709754
431	4.234320794
432	4.23185658
433	4.229032705
434	4.226956913
435	4.224380746
436	4.222043027
437	4.220338693
438	4.217780449
439	4.215386678
440	4.21334541
441	4.210453852
442	4.208142632
443	4.206010357
444	4.204333894
445	4.201412916
446	4.198856184
447	4.196448998
448	4.193888586
449	4.192412625
450	4.189461728
451	4.186647203
452	4.184877981
453	4.182945534
454	4.181170496
455	4.179823352
456	4.177819114
457	4.174899312
458	4.172985243
459	4.170013839
460	4.167987765
461	4.166572571
462	4.164877725
463	4.162279077
464	4.160201057
465	4.157812513
466	4.156176376
467	4.154170619
468	4.151887886
469	4.149178277
470	4.146458022
471	4.144685584
472	4.142115856
473	4.1402588
474	4.138382466
475	4.136185897
476	4.132679928
477	4.130635439
478	4.128706588
479	4.125787629
480	4.122979401
481	4.119399724
482	4.116736941
483	4.114122533
484	4.111917449
485	4.109518959
486	4.107330781
487	4.105109561
488	4.102901837
489	4.100519594
490	4.09817153
491	4.095240925
492	4.091644299
493	4.089249025
494	4.085388693
495	4.082857499
496	4.080720443
497	4.077555623
498	4.075204342
499	4.073817308
