iter	RMSE
0	10.52116071
1	10.27538993
2	10.05997731
3	9.854078438
4	9.651144111
5	9.472642192
6	9.286975684
7	9.137840017
8	9.000087377
9	8.852537984
10	8.699444988
11	8.553078904
12	8.424648806
13	8.315231597
14	8.19619192
15	8.090027221
16	8.000813662
17	7.905910588
18	7.801168689
19	7.716340638
20	7.629522119
21	7.54859055
22	7.478108071
23	7.417989065
24	7.342290457
25	7.269749785
26	7.201926773
27	7.133678688
28	7.083479238
29	7.022581951
30	6.960793902
31	6.913331019
32	6.857027794
33	6.80810608
34	6.754081102
35	6.705587238
36	6.653154347
37	6.603546908
38	6.560185045
39	6.523451044
40	6.481535539
41	6.446512973
42	6.416695056
43	6.373399613
44	6.341282673
45	6.311144644
46	6.274379119
47	6.23741809
48	6.208024105
49	6.179366478
50	6.155084592
51	6.130238503
52	6.100502611
53	6.078581724
54	6.051174726
55	6.031157352
56	6.00231705
57	5.979380872
58	5.957577108
59	5.938327474
60	5.922979815
61	5.905978098
62	5.889447439
63	5.86770137
64	5.852807984
65	5.839005218
66	5.823254146
67	5.80795765
68	5.790932496
69	5.776319237
70	5.757413755
71	5.747364715
72	5.7385565
73	5.723235009
74	5.707167373
75	5.694939409
76	5.68485058
77	5.673048453
78	5.660595295
79	5.651098269
80	5.642204314
81	5.631540038
82	5.623310422
83	5.61166544
84	5.602959401
85	5.591344826
86	5.581485825
87	5.569220879
88	5.561995238
89	5.555038423
90	5.546688608
91	5.53568892
92	5.523728685
93	5.513219769
94	5.506712268
95	5.500368441
96	5.487778148
97	5.480307413
98	5.470479886
99	5.463610944
100	5.456515347
101	5.449287945
102	5.442012101
103	5.436623561
104	5.427358134
105	5.416741608
106	5.41000328
107	5.40020226
108	5.391920528
109	5.385120394
110	5.379248393
111	5.373411318
112	5.369102914
113	5.360699773
114	5.354969007
115	5.350506411
116	5.3412346
117	5.333487934
118	5.324950397
119	5.319561016
120	5.312370063
121	5.306243912
122	5.297513399
123	5.292848955
124	5.287472828
125	5.282823777
126	5.27617416
127	5.27118161
